id	OD_neg_control	OD_neg_control_SD	OD_sample
7376	-0.000514644	0.002276625	0.042475897
7377	-0.000514644	0.002276625	0.075989798
7378	-0.000514644	0.002276625	0.118381468
7379	-0.000514644	0.002276625	0.096636506
7380	-0.000514644	0.002276625	0.149933728
7381	-0.000514644	0.002276625	0.057988767
7382	-0.000514644	0.002276625	0.034382658
7383	-0.000514644	0.002276625	-0.016756465
7384	-0.000514644	0.002276625	0.076559547
7385	-0.000514644	0.002276625	0.084096755
7386	-0.000514644	0.002276625	0.00594526
7387	-0.000514644	0.002276625	0.125819559
7388	-0.000514644	0.002276625	0.162704044
7389	-0.000514644	0.002276625	0.262893204
7390	-0.000514644	0.002276625	0.206242647
7391	-0.000514644	0.002276625	0.072199197
7392	-0.000514644	0.002276625	-0.024446267
7393	-0.000514644	0.002276625	0.158784731
7394	-0.000514644	0.002276625	0.08825149
7395	-0.000514644	0.002276625	0.176088096
7396	-0.000514644	0.002276625	-0.006650004
7397	-0.000514644	0.002276625	0.056864267
7398	-0.000514644	0.002276625	0.089236163
7399	-0.000514644	0.002276625	0.107318336
7400	-0.000514644	0.002276625	0.140876741
7401	-0.000514644	0.002276625	0.264195883
7402	-0.000514644	0.002276625	0.244132847
7403	-0.000514644	0.002276625	0.259962209
7404	-0.000514644	0.002276625	0.148289344
7405	-0.000514644	0.002276625	0.207787612
7406	-0.000514644	0.002276625	0.152738223
7407	-0.000514644	0.002276625	0.240305189
7408	-0.000514644	0.002276625	0.248065761
7409	-0.000514644	0.002276625	0.192375683
7410	-0.000514644	0.002276625	0.007774612
7411	-0.000514644	0.002276625	-0.014000086
7412	-0.000514644	0.002276625	0.243569505
7413	-0.000514644	0.002276625	0.260223776
7414	-0.000514644	0.002276625	0.280853973
7415	-0.000514644	0.002276625	0.088124685
7416	-0.000514644	0.002276625	0.249002374
7417	-0.000514644	0.002276625	0.109912475
7418	-0.000514644	0.002276625	0.096153337
7419	-0.000514644	0.002276625	0.177400558
7420	-0.000514644	0.002276625	0.35311745
7421	-0.000514644	0.002276625	0.237417698
7422	-0.000514644	0.002276625	0.180510907
7423	-0.000514644	0.002276625	0.107316526
7424	-0.000514644	0.002276625	0.294338455
7425	-0.000514644	0.002276625	0.286246941
7426	-0.000514644	0.002276625	0.312528556
7427	-0.000514644	0.002276625	0.291548584
7428	-0.000514644	0.002276625	0.160801401
7429	-0.000514644	0.002276625	0.124987489
7430	-0.000514644	0.002276625	0.633723889
7431	-0.000514644	0.002276625	0.423784577
7432	-0.000514644	0.002276625	0.405265214
7433	-0.000514644	0.002276625	0.440391571
7434	-0.000514644	0.002276625	0.042782546
7435	-0.000514644	0.002276625	0.129619802
7436	-0.000514644	0.002276625	0.109434936
7437	-0.000514644	0.002276625	0.195411656
7438	-0.000514644	0.002276625	0.143488084
7439	-0.000514644	0.002276625	0.245767446
7440	-0.000514644	0.002276625	0.249008716
7441	-0.000514644	0.002276625	0.207105474
7442	-0.000514644	0.002276625	0.171483723
7443	-0.000514644	0.002276625	1.069697376
7444	-0.000514644	0.002276625	0.092134515
7445	-0.000514644	0.002276625	0.004094515
7446	-0.000514644	0.002276625	0.089738357
7447	-0.000514644	0.002276625	0.178381036
7448	-0.000514644	0.002276625	0.324608831
7449	-0.000514644	0.002276625	0.211962816
7450	-0.000514644	0.002276625	0.150069494
7451	-0.000514644	0.002276625	0.25049564
